Project,Group,Connections,Twitter,Image,Popup
Cheerbot,#FFCC00,2,cheerbotme,https://pbs.twimg.com/profile_images/1515123788438032386/U86eYjob_normal.png,"<strong>Cheerbot | cheerbot.eth | 🤖(❤️, 🍀)</strong> | <a href=""https://twitter.com/cheerbotme"">@cheerbotme</a><p>Sending cheer via phygital-within-phygital NFT designer toy robots!<br>The best of #Web3 income & #STEAM education as one.<br>buy https://t.co/Qbuy24nC8P<br>map https://t.co/RLfGcUslhh </p><a href=""https://t.co/k8VEGtn9x7"">cheerbot.org</a>"
Cherubs DAO,#F3587D,11,cherubsdao,https://pbs.twimg.com/profile_images/1461111085067603971/A1LX50MT_normal.jpg,"<strong>Cherubs DAO</strong> | <a href=""https://twitter.com/CherubsDao"">@CherubsDao</a><p>An NFT funded, DAO governed community of extraordinary people changing the world, focused on brain health & longevity<br><br>Founded by Brian Magierski - @bmagierski </p><a href=""https://t.co/jIM99HFWVl"">linktr.ee/cherubsdao</a>"
Circonomy,#FFCC00,5,circonomydao,https://pbs.twimg.com/profile_images/1500542961410580496/DicM6XPM_normal.png,"<strong>Circonomy</strong> | <a href=""https://twitter.com/CirconomyDao"">@CirconomyDao</a><p>We are a Web3 cooperative centered on circular economics and circular design tackling the climate change challenge by starting with the plastic problem </p>"
Citizen DAO,#F3587D,56,citizendao,https://pbs.twimg.com/profile_images/1466272943688888321/e8j2P6L4_normal.jpg,"<strong>CitizenDAO.eth</strong> | <a href=""https://twitter.com/CitizenDAO"">@CitizenDAO</a><p>Like the United Nations, but better. On a mission to solve humanity's biggest problems. Creating Web3 Impact Bonds to fund it. <br><br>Join us: https://t.co/IBvG1ciUsr </p><a href=""https://t.co/3tXi8GLPtH"">CitizenDAO.io</a>"
Climate Finance DAO,#02E2AC,30,climatefindao,https://pbs.twimg.com/profile_images/1464765590652997636/z7b63Skp_normal.jpg,"<strong>Climate Finance DAO (⏰,🌍)</strong> | <a href=""https://twitter.com/ClimatefinDAO"">@ClimatefinDAO</a><p>We are a work in progress DAO that aim to support and develop climate science informed & decentralised finance instruments </p><a href=""https://t.co/VJPSjbjppZ"">gitcoin.co/grants/4041/cl…</a>"
ClimateDAO ,#02E2AC,64,climate_dao,https://pbs.twimg.com/profile_images/1499761953882923009/ZfgXLTBO_normal.png,"<strong>ClimateDAO 💚💚 - ClimateDAO.eth</strong> | <a href=""https://twitter.com/Climate_DAO"">@Climate_DAO</a><p>Building a platform to decarbonize corporations through shareholder activism. https://t.co/fRF6ffkBrA </p><a href=""https://t.co/QP1bogOFUK"">linktr.ee/climatedao</a>"
Clime DAO,#02E2AC,18,climedao,https://pbs.twimg.com/profile_images/1511646045742432258/kwWwkOce_normal.jpg,"<strong>ClimeDAO</strong> | <a href=""https://twitter.com/ClimeDAO"">@ClimeDAO</a><p>Enabled via web3, we are here to incentivize your climate-positive actions. Head to our website and be a part of our mission🌍 (Join the Clime Movement!) </p><a href=""https://t.co/z6fuSFygMr"">climedao.com</a>"
Code4rena,#F3587D,4,code4rena,https://pbs.twimg.com/profile_images/1461661937746407424/9RXtCZ5v_normal.png,"<strong>Code4rena</strong> | <a href=""https://twitter.com/code4rena"">@code4rena</a><p>A DAO for on demand web3 security. <br><br>💰 $4MM in rewards paid <br>🐺 400+ High Severity 🐞's patched<br>⛓ Start your audit this week: https://t.co/tD4F3j9SPO </p><a href=""https://t.co/0RMdJ9DL2J"">code4rena.com</a>"
Cohere,#4D82C1,14,coherenetwork,https://pbs.twimg.com/profile_images/1358113018681446400/IPcrmbdD_normal.jpg,"<strong>Cohere</strong> | <a href=""https://twitter.com/coherenetwork"">@coherenetwork</a><p>Cohere is a community-owned global network of regenerative communities and innovation hubs powered by web3 🌱 Let’s Co: https://t.co/hjtbufhZqu </p><a href=""https://t.co/QMeia83lM0"">lu.ma/cohere</a>"
Converge,#4D82C1,2,converge4impact,https://pbs.twimg.com/profile_images/1438991514206556164/Okjj6J9L_normal.jpg,"<strong>Converge</strong> | <a href=""https://twitter.com/converge4impact"">@converge4impact</a><p>Advancing the network approach to collaboration. Read #ImpactNetworks, our guide for cultivating community and co-creating change: https://t.co/McB6hYG9NC </p><a href=""https://t.co/A9bzLE3nBs"">converge.net</a>"
